,主旨,原因,不合格原因暨檢出量詳細說明,法規限量標準,seg
1933,筷子(筷子),容器具-溶出試驗不符規定,"案內產品以4%醋酸(60℃,30分鐘)溶出試驗結果，蒸發殘渣值為52 ppm","依據「食品器具容器包裝衛生標準」，以甲醛-三聚氰胺為合成原料之塑膠類，其溶出試驗4%醋酸(60℃,30分鐘)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","['案內產品', '4%', '60', '30', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣值', '52', 'ppm', '醋酸']"
1934,湯匙(湯匙),容器具-溶出試驗不符規定,案內產品4%醋酸溶液溶出試驗結果，蒸發殘渣量45 ppm,依據「食品器具容器包裝衛生標準」，原材料(甲醛-三聚氰胺樹脂)其溶出試驗(4%醋酸溶液)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。,"['案內產品', '4%', '溶出', '試驗', '結果', '蒸發', '殘渣量', '45', 'ppm', '醋酸', '溶液']"
1935,筷子(筷子),容器具-溶出試驗不符規定,案內產品4%醋酸溶液溶出試驗結果，蒸發殘渣量42 ppm,依據「食品器具容器包裝衛生標準」，原材料(甲醛-三聚氰胺樹脂)其溶出試驗(4%醋酸溶液)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。,"['案內產品', '4%', '溶出', '試驗', '結果', '蒸發', '殘渣量', '42', 'ppm', '醋酸', '溶液']"
1936,鮮哈密瓜(FRESH MELON),農藥殘留含量不符規定,檢出殘留農藥祿芬隆0.02 ppm,依據「農藥殘留容許量標準」，農藥祿芬隆定量極限為 0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥祿', '芬隆', '0.02', 'ppm']"
1937,鮮哈密瓜(FRESH MELON),農藥殘留含量不符規定,檢出殘留農藥祿芬隆0.03 ppm,依據「農藥殘留容許量標準」，農藥祿芬隆定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥祿', '芬隆', '0.03', 'ppm']"
1938,菜板(菜板),容器具-溶出試驗不符規定,案內產品以4%醋酸(95℃，30分鐘)溶出試驗結果，蒸發殘渣值74 ppm,依據「食品器具容器包裝衛生標準」，以聚丙烯為原料之塑膠類，其溶出試驗4%醋酸(95℃，30分鐘)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。,"['案內產品', '4%', '95', '30', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣值', '74', 'ppm', '醋酸']"
1939,菜板(菜板),容器具-溶出試驗不符規定,案內產品以4%醋酸(95℃，30分鐘)溶出試驗結果，蒸發殘渣值62 ppm,依據「食品器具容器包裝衛生標準」，以聚丙烯為原料之塑膠類，其溶出試驗4%醋酸(95℃，30分鐘)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。,"['案內產品', '4%', '95', '30', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣值', '62', 'ppm', '醋酸']"
1940,菜板(菜板),容器具-溶出試驗不符規定,"案內產品以4％醋酸(60℃,30分鐘)溶出試驗結果，蒸發殘渣值為48 ppm","依據「食品器具容器包裝衛生標準」，以聚丙烯為合成原料之塑膠類，其溶出試驗4％醋酸(60℃,30分鐘)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","['案內產品', '60', '30', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣值', '48', 'ppm', '醋酸']"
1941,菜板(菜板),容器具-溶出試驗不符規定,"案內產品以4%醋酸(60℃,30分鐘)溶出試驗結果，蒸發殘渣值為70 ppm","依據「食品器具容器包裝衛生標準」，以聚丙烯為合成原料之塑膠類，其溶出試驗4%醋酸(60℃,30分鐘)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","['案內產品', '4%', '60', '30', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣值', '70', 'ppm', '醋酸']"
1942,摺疊收納切菜瀝水藍(摺疊收納切菜瀝水藍),容器具-溶出試驗不符規定,案內產品白色板區塊以4%醋酸(60℃，30分鐘)溶出試驗結果，蒸發殘渣值150 ppm,依據「食品器具容器包裝衛生標準」，以聚丙烯為原料之塑膠類，其溶出試驗4%醋酸(60℃，30分鐘)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。,"['案內產品', '板區', '4%', '60', '30', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣值', '150', 'ppm', '醋酸', '白色']"
1943,鮮藍莓(愛媛)(FRESH BLUEBERRY),農藥殘留含量不符規定,檢出殘留農藥氟尼胺0.1 ppm,依據「農藥殘留容許量標準」，農藥氟尼胺定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '氟尼胺', '0.1', 'ppm']"
1944,鮮藍莓(德島)(FRESH BLUEBERRY),農藥殘留含量不符規定,檢出殘留農藥氟尼胺0.08 ppm,依據「農藥殘留容許量標準」，農藥氟尼胺定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '氟尼胺', '0.08', 'ppm']"
1945,鮮草莓(京都)(FRESH STRAWBERRY),農藥殘留含量不符規定,檢出殘留農藥氟尼胺0.05 ppm、賽安勃0.03 ppm,依據「農藥殘留容許量標準」，農藥氟尼胺定量極限為0.01 ppm、賽安勃為不得檢出，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥', '氟尼胺', '0.05', '賽安勃', '0.03']"
1946,烤坦都雞混合香料粉(SHAN TANDOORI MASALA),農藥殘留含量不符規定,檢出殘留農藥愛殺松0.13 ppm、得克利0.11 ppm，依據業者檢附成分比例表換算農藥殘留量：愛殺松(紅椒粉、紅辣椒)分別為5.7 ppm、3.9 ppm、得克利(紅椒粉、紅辣椒、薑、大蒜、黑胡椒、馬芹、黑豆蔻、大茴香、肉桂、木瓜粉)分別為4.8 ppm、3.3 ppm、3.67 ppm、3.7 ppm、2.29 ppm、0.87 ppm、2.20 ppm、1.90 ppm、1.90 ppm、1.7 ppm,依據「農藥殘留容許量標準」，農藥愛殺松容許量為0.5 ppm、得克利(甜椒、辣椒、木瓜)容許量分別為1.0 ppm、1.0 ppm、0.5 ppm、得克利(薑、大蒜、黑胡椒、馬芹、黑豆蔻、大茴香、肉桂)容許量為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '農藥', '愛殺', '紅椒粉', '分別', '1.90', '克利', '辣椒', '黑胡椒', '檢出', '殘留', '0.13', '0.11', '依據業者', '檢附', '比例表', '換算', '殘留量', '5.7', '3.9', '大茴香', '木瓜粉', '4.8', '3.3', '3.67', '3.7', '2.29', '0.87', '2.20', '1.7', '豆蔻', '肉桂', '大蒜', '成分']"
1947,馬鈴薯(Potatoes ),農藥殘留含量不符規定,檢出殘留農藥賓克隆0.02 ppm,依據「農藥殘留容許量標準」，農藥賓克隆定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥賓', '0.02', 'ppm', '克隆']"
1948,CH006 歌劇綠茶 OPERA VERT(CH006 OPERA VERT GREEN TEA),農藥殘留含量不符規定,檢出殘留農藥克凡派2.3 ppm,依據「農藥殘留容許量標準」，農藥克凡派容許量為2.0 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥克凡', '2.3', 'ppm']"
1949,吉康菜(WHITE ENDIVE),農藥殘留含量不符規定,檢出殘留農藥氟派瑞0.01 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '派瑞', '0.01', 'ppm']"
1950,迷你萵苣(BABY LETTUCE HEART),農藥殘留含量不符規定,檢出殘留農藥護汰寧0.26 ppm,依據「農藥殘留容許量標準」，農藥護汰寧定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥護汰寧', '0.26', 'ppm']"
1951,去皮椰子(FRESH YOUNG COCONUT),農藥殘留含量不符規定,檢出殘留農藥亞托敏0.32 ppm,依據「農藥殘留容許量標準」，農藥亞托敏容許量為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '亞托敏', '0.32', 'ppm']"
1952,冷凍黑皮旗魚(FROZEN BLUE MARLIN),重金屬含量不符規定,檢出鎘0.24 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為0.05 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出鎘', '0.24', 'mg', 'kg']"
1953,柳橙(FRESH ORANGES),農藥殘留含量不符規定,檢出殘留農藥草滅淨0.03 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '草滅', '0.03', 'ppm']"
1954,鮮草莓(FRESH STRAWBERRIES),農藥殘留含量不符規定,檢出殘留農藥諾伐隆0.7 ppm,依據「農藥殘留容許量標準」，農藥諾伐隆容許量為0.5 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '諾伐隆', '0.7', 'ppm']"
1955,冷凍黑旗魚(FROZEN BLUE MARLIN),重金屬含量不符規定,檢出鎘0.11 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為0.05 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出鎘', '0.11', 'mg', 'kg']"
1956,印度香料紅茶(CHAI BLACK TEA),農藥殘留含量不符規定,"檢出殘留農藥2,6-Diisopropylnaphthalene (2,6-DIPN) 0.07 ppm、芬普尼0.009 ppm及芬普尼代謝物0.003 ppm (芬普尼及其代謝物之加總為0.012)","依據「農藥殘留容許量標準」，農藥2,6-Diisopropylnaphthalene (2,6-DIPN)為不得檢出、芬普尼定量極限為0.002 ppm，本案不符合食品安全衛生管理法第15條規定。","['ppm', '芬普尼', '檢出', '殘留', '農藥', 'Diisopropylnaphthalene', 'DIPN', '0.07', '0.009', '及芬', '普尼代', '謝物', '0.003', '代謝物', '之加', '總為', '0.012', '及其']"
1957,紅棗(紅棗乾片)(RED DATES),農藥殘留含量不符規定,檢出殘留農藥滅大松0.05 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '滅大松', '0.05', 'ppm']"
1958,鮮蘋果(FRESH APPLE),農藥殘留含量不符規定,檢出殘留農藥派美尼10.3 ppm,依據「農藥殘留容許量標準」，農藥派美尼容許量為7.0 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '美尼', '10.3', 'ppm']"
1959,鮮蘋果(FRESH APPLES),農藥殘留含量不符規定,檢出殘留農藥派美尼9.4 ppm,依據「農藥殘留容許量標準」，農藥派美尼容許量為7.0 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '美尼', '9.4', 'ppm']"
1960,日式便當盒(日式便當盒),容器具-溶出試驗不符規定,"案內產品日式便當盒(匙)及(筷)以4%醋酸(95℃,30分鐘)溶出試驗結果，蒸發殘渣分別為32 ppm及56 ppm","依據「食品器具容器包裝衛生標準」，以聚丙烯為合成原料之塑膠類器具其溶出試驗以4%醋酸(95℃,30分鐘)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","['ppm', '案內產品', '當盒', '4%', '95', '30', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣', '分別', '32', '56', '日式', '醋酸']"
1961,日式便當盒(日式便當盒),容器具-溶出試驗不符規定,"案內產品日式便當盒(匙)及(筷)以4%醋酸(95℃,30分鐘)溶出試驗結果，蒸發殘渣分別為48 ppm及54 ppm","依據「食品器具容器包裝衛生標準」，以聚丙烯為合成原料之塑膠類器具其溶出試驗以4%醋酸(95℃,30分鐘)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","['ppm', '案內產品', '當盒', '4%', '95', '30', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣', '分別', '48', '54', '日式', '醋酸']"
1962,日式便當盒(日式便當盒),容器具-溶出試驗不符規定,"案內產品日式便當盒(匙)及(筷)以4%醋酸(95℃,30分鐘)溶出試驗結果，蒸發殘渣分別為44 ppm及55 ppm","依據「食品器具容器包裝衛生標準」，以聚丙烯為合成原料之塑膠類器具其溶出試驗以4%醋酸(95℃,30分鐘)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","['ppm', '案內產品', '當盒', '4%', '95', '30', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣', '分別', '44', '55', '日式', '醋酸']"
1963,哈密瓜(FRESH MELON),農藥殘留含量不符規定,檢出殘留農藥滅派林0.02 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥滅', '派林', '0.02', 'ppm']"
1964,鮮哈密瓜(FRESH MELON),農藥殘留含量不符規定,檢出殘留農藥畢達本0.04 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '畢達本', '0.04', 'ppm']"
1965,綠蘆筍(FRESH ASPARAGUS),農藥殘留含量不符規定,檢出殘留農藥第滅寧0.02 ppm,依據「農藥殘留容許量標準」，農藥第滅寧容許量為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '第滅寧', '0.02', 'ppm']"
1966,塑膠碗(塑膠碗),容器具-溶出試驗不符規定,案內產品以4%醋酸(95℃，30分鐘)溶出試驗結果，蒸發殘渣值71 ppm,依據「食品器具容器包裝衛生標準」，以甲醛-三聚氰胺為合成原料之塑膠類，其溶出試驗4%醋酸(95℃，30分鐘)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。,"['案內產品', '4%', '95', '30', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣值', '71', 'ppm', '醋酸']"
1967,鮮草莓(香川)(FRESH STRAWBERRY),農藥殘留含量不符規定,檢出殘留農藥賽安勃0.20 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '賽安勃', '0.20', 'ppm']"
1968,酪梨(FRESH AVOCADO),重金屬含量不符規定,檢出鎘0.19 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為0.05 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出鎘', '0.19', 'mg', 'kg']"
1969,酪梨(FRESH AVOCADO),重金屬含量不符規定,檢出鎘0.06 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為0.05 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出鎘', '0.06', 'mg', 'kg']"
1970,挑戰喝得快 極細吸管(PARTY SUPPLIES(VERY THIN STRAW)),容器具-溶出試驗不符規定,"案內產品以正庚烷(25°C/60 min)溶出試驗結果，蒸發殘渣2,209 ppm",依據「食品器具容器包裝衛生標準」，以聚氯乙烯為合成原料之塑膠類，其溶出試驗正庚烷(25°C/60 min)蒸發殘渣合格標準為150 ppm以下，本案不符合食品安全衛生管理法第17條規定。,"['庚烷', '案內產品', '25', '60', 'min', '溶出', '試驗', '結果', '蒸發', '殘渣', '209', 'ppm']"
1971,薄荷茶(PERFECT PEPPERMINT),農藥殘留含量不符規定,"檢出殘留農藥2,6-Diisopropylnaphthalene (2,6-DIPN) 0.06 ppm",本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Diisopropylnaphthalene', 'DIPN', '0.06', 'ppm']"
1972,紅茶(BLACK TEA),農藥殘留含量不符規定,檢出殘留農藥速殺氟0.09 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥速', '0.09', 'ppm']"
1973,"開心果(自然開 (PISTACHIO) 2020 年產規格:22-24粒/盎斯 -JUMBO (未調製,帶殼))",農藥殘留含量不符規定,檢出殘留農藥可尼丁0.03 ppm,依據「農藥殘留容許量標準」，農藥可尼丁定量極限為0.02 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '可尼丁', '0.03', 'ppm']"
1974,紫蘇葉(PERILLA FRUTESCENS),農藥殘留含量不符規定,檢出殘留農藥芬普蟎0.03 ppm、 因滅汀0.15 ppm,依據「農藥殘留容許量標準」，農藥芬普蟎定量極限為0.01 ppm、因滅汀容許量為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥芬', '0.03', '因滅', '0.15']"
1975,鮮草莓(FRESH STRAWBERRY),農藥殘留含量不符規定,檢出殘留農藥氟尼胺0.03 ppm,依據「農藥殘留容許量標準」，農藥氟尼胺定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '氟尼胺', '0.03', 'ppm']"
1976,鮮草莓(熊本)(FRESH STRAWBERRY),農藥殘留含量不符規定,檢出殘留農藥氟尼胺0.03 ppm,依據「農藥殘留容許量標準」，農藥氟尼胺定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '氟尼胺', '0.03', 'ppm']"
1977,鮮蜜柑(FRESH HAMASAKI MIKAN),農藥殘留含量不符規定,檢出殘留農藥得脫蟎0.02 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '0.02', 'ppm']"
1978,綠蘆筍(FRESH ASPARAGUS),農藥殘留含量不符規定,檢出殘留農藥草殺淨0.05 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥草', '殺淨', '0.05', 'ppm']"
1979,安康魚肝(FRESH MONKFISH LIVER),重金屬含量不符規定,檢出鎘0.62 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為0.05 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出鎘', '0.62', 'mg', 'kg']"
1980,221405 美國富士蘋果(FRESH APPLE FUJI APPLE),農藥殘留含量不符規定,檢出殘留農藥賽安勃0.02 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '賽安勃', '0.02', 'ppm']"
1981,生咖啡豆(GREEN COFFEE BEAN),農藥殘留含量不符規定,檢出殘留農藥環克座0.03 ppm,依據「農藥殘留容許量標準」，農藥環克座定量極限為0.02 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '環克座', '0.03', 'ppm']"
1982,大地之焠200(膠囊食品)(MATASARI HERBAL CAPSULE),防腐劑含量不符規定,檢出對羥苯甲酸甲酯0.053 g/kg(以p-Hydroxybenzoic Acid計),依據「食品添加物使用範圍及限量暨規格標準」，案內產品非對羥苯甲酸甲酯表列准用之食品範圍，且案內產品成分與膠囊錠狀查驗登記許可函之成分不符，本案不符合食品安全衛生管理法第18條及第21條規定。,"['檢出', '0.053', 'kg', 'Hydroxybenzoic', 'Acid', '甲酯', '苯甲酸']"
1983,上海青(芯)(FROZEN SHANGHAI BOK CHOY),農藥殘留含量不符規定,檢出殘留農藥派美尼0.04 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '美尼', '0.04', 'ppm']"
1984,鮮葡萄(FRESH GREEN GRAPES ),農藥殘留含量不符規定,檢出殘留農藥賽扶寧0.13 ppm,依據「農藥殘留容許量標準」，農藥賽扶寧定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥賽', '扶寧', '0.13', 'ppm']"
1985,高粱(RED SORGHUM),農藥殘留含量不符規定,檢出殘留農藥嘉磷塞4.6 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '磷塞', '4.6', 'ppm']"
1986,白荳蔻(CARDAMOM),農藥殘留含量不符規定,檢出殘留農藥芬普尼0.003 ppm,依據「農藥殘留容許量標準」，農藥芬普尼定量極限為0.002 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥芬', '普尼', '0.003', 'ppm']"
1987,玉米酥(起司風味) A655(MOMOGI KEJU SWISS),真菌毒素含量不符規定,檢出黃麴毒素B1 8 µg/kg、黃麴毒素B2 0.8 µg/kg,依據「食品中污染物質及毒素衛生標準」，黃麴毒素B1限量為2 µg/kg、總黃麴毒素限量為4 µg/kg，本案不符合食品安全衛生管理法第17條規定。,"['kg', '毒素', '檢出', 'B1', 'B2', '0.8']"
1988,鮮桔橙(FRESH CITRUS(TAROCCO)),農藥殘留含量不符規定,檢出殘留農藥依芬寧0.1 ppm、得克利0.03 ppm,依據「農藥殘留容許量標準」，農藥依芬寧為不得檢出、得克利定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥', '依芬寧', '0.1', '0.03', '克利']"
1989,鮮藍莓(FRESH BLUEBERRY),農藥殘留含量不符規定,檢出殘留農藥氟尼胺0.25 ppm,依據「農藥殘留容許量標準」，農藥氟尼胺定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '氟尼胺', '0.25', 'ppm']"
1990,未去殼乾綠豆(CHINESE MUNG BEAN VIGNA RADIATA),農藥殘留含量不符規定,檢出殘留農藥巴賽松0.22 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '巴賽', '0.22', 'ppm']"
1991,凍三去旗魚(FROZEN BLUE MARLIN DWT (MAKAIRA NIGRICANS) 20KGS-200KGS 食品用/LOT NO.095),重金屬含量不符規定,檢出鎘0.13 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為0.05 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出鎘', '0.13', 'mg', 'kg']"
1992,印度小荳蔻 Green Cardamon(Green Cardemon ( 7 MM SIZE )),農藥殘留含量不符規定,檢出殘留農藥益達胺0.10 ppm、滅達樂0.30 ppm、芬普尼0.058 ppm、芬普尼代謝物0.034(芬普尼總和0.092 ppm)、畢芬寧0.10 ppm、待克利0.10 ppm、拜裕松0.43 ppm、得克利0.31 ppm及賽洛寧0.52 ppm,依據「農藥殘留容許量標準」，農藥益達胺、待克利、拜裕松、得克利定量極限均為0.05 ppm；滅達樂為不得檢出；芬普尼定量極限為0.002 ppm；畢芬寧、賽洛寧容許量均為 0.03 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '0.10', '芬普尼', '克利', '檢出', '殘留', '農藥益', '達胺', '滅達樂', '0.30', '0.058', '芬普尼代', '謝物', '0.034', '0.092', '畢芬寧', '拜裕松', '0.43', '0.31', '及賽', '洛寧', '0.52']"
1993,鮮桔橙(FRESH CITRUS(TAROCCO)),農藥殘留含量不符規定,檢出殘留農藥依芬寧0.05 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '依芬寧', '0.05', 'ppm']"
1994,鮮蜜柑(FRESH SATSUMA ORANGE),農藥殘留含量不符規定,檢出殘留農藥氟比來0.04 ppm,依據「農藥殘留容許量標準」，農藥氟比來定量極限為 0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '比來', '0.04', 'ppm']"
1995,鮮哈密瓜(FRESH MELON),農藥殘留含量不符規定,檢出殘留農藥依普同0.26 ppm、Pyrifluquinazon 0.02 ppm,依據「農藥殘留容許量標準」，農藥依普同定量極限為0.01 ppm、Pyrifluquinazon為不得檢出，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥', '依普同', '0.26', 'Pyrifluquinazon', '0.02']"
1996,薄荷葉(PEPPERMINT),農藥殘留含量不符規定,檢出殘留農藥大滅松0.23 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '大滅', '0.23', 'ppm']"
1997,濾茶(咖啡)器(TEA&COFFEE FILTERS),其它衛生項目不符規定(其他衛生項目不符規定),檢出螢光增白劑,依據「食品器具容器包裝衛生標準」，螢光增白劑為不得檢出，本案不符合食品安全衛生管理法第17條。,"['檢出', '螢光', '增白']"
1998,冷凍綜合蔬菜(大塊)(NSK RANDOM CUT MIXED VEGETABLE),農藥殘留含量不符規定,檢出殘留農藥滅必蝨0.03 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥滅', '必蝨', '0.03', 'ppm']"
1999,鮮櫻桃(fresh cherries),農藥殘留含量不符規定,檢出殘留農藥賽安勃0.04 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '賽安勃', '0.04', 'ppm']"
2000,墨魚干(SMALL CUTTLE FISH DRIED),漂白劑含量不符規定,檢出二氧化硫0.087 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，准用亞硫酸鹽類漂白劑用量以二氧化硫殘留量計為 0.030 g/kg以下，本案不符合食品安全衛生管理法第18條規定。,"['檢出', '0.087', 'kg', '二氧化硫']"
2001,"阿發師芋頭瘦肉粥膠膜(333635/J-TH2101011 TARO & LEAN MEAT PORRIDGE TOP FILM/900614 WIDTH:205MM,LENGTH:500M NY/PE)",容器具-溶出試驗不符規定,"案內產品以正庚烷(25℃,60分鐘)溶出試驗結果，蒸發殘渣值42 ppm","依據「食品器具容器包裝衛生標準」，以聚乙烯為原料之塑膠類，其以正庚烷(25℃,60分鐘)溶出試驗蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","['庚烷', '案內產品', '25', '60', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣值', '42', 'ppm']"
2002,高粱(RED SORGHUM),農藥殘留含量不符規定,檢出殘留農藥得克利0.04 ppm,依據「農藥殘留容許量標準」，農藥得克利定量極限為0.02 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '0.04', 'ppm', '克利']"
2003,鮮檸檬(FRESH LEMONS),農藥殘留含量不符規定,檢出殘留農藥脫芬瑞0.03 ppm,依據「農藥殘留容許量標準」，農藥脫芬瑞定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '脫芬瑞', '0.03', 'ppm']"
2004,芫荽馬芹子粉(Coriander Cumin Powder),農藥殘留含量不符規定,檢出殘留農藥貝芬替0.12 ppm、菲克利0.08 ppm、賽速安0.10 ppm、三賽唑0.13 ppm、芬普尼0.003 ppm及得克利0.06 ppm,依據「農藥殘留容許量標準」，農藥貝芬替、菲克利、賽速安、得克利定量極限均為0.05 ppm、三賽唑為不得檢出、芬普尼定量極限為0.002 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '菲克', '檢出', '殘留', '農藥', '貝芬', '0.12', '0.08', '賽速安', '0.10', '三賽', '0.13', '芬普尼', '0.003', '0.06', '克利']"
2005,精選果香風味紅茶包(JN FLAVOR TEA BAGS),農藥殘留含量不符規定,"檢出殘留農藥2,6-Diisopropylnaphthalene(2,6-DIPN) 0.23 ppm",本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Diisopropylnaphthalene', 'DIPN', '0.23', 'ppm']"
2006,焙茶包50袋(JN ROASTED GREEN TEA (TEA BAG)),農藥殘留含量不符規定,檢出殘留農藥氟大滅0.2 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '氟大滅', '0.2', 'ppm']"
